,<PER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,1,0.9998299857762906,0.0026940285646867026,-0.01049980363672766,-0.0019341743541340427,0.014644462967014896
1,0,0.00667887765065061,3.857745615244399e-05,-5.8488401263383035e-05,6.2221703471683135e-06,0.9992805577552525
2,1,0.9995807970180675,0.003907370892125446,-0.010451040217492158,-0.008662123423507013,0.02523314214673782
3,1,0.9999990132769059,0.0,0.0,0.0,0.00023094665433646787
4,0,0.0007633268358529095,3.3902455982534155e-06,-6.128520889150413e-06,-4.8245802744375795e-06,0.9999920574232939
5,0,0.006412715494039718,2.387903740100172e-06,-0.00013969236879587648,-0.00013969236879587648,0.999337715232032
6,1,0.9998848922504905,0.007189909645676897,-0.0021326003186329778,0.006702458144275073,0.011211384532241941
7,1,0.9999954185345138,0.0014903061379053855,-0.0011425680390607957,0.0014903061379053855,0.0010928911677972827
8,0,0.21893717026725984,0.0,-9.708965422051803e-05,-9.708965422051803e-05,0.09708965422051435
9,1,0.9994176557470742,0.0009575832380354026,-0.005266707809194714,-0.002274260190334081,0.033575262283616306
10,1,0.9999852206228688,0.0037137931224098,0.0,0.0037137931224098,0.00018568965612049
11,1,0.9999886514341012,0.00046517590893338664,-0.0003721407271467093,0.00018607036357335465,0.00451220631665385
12,0,0.023071012272691614,7.833381787302921e-05,-9.195709054660122e-05,6.130472703106647e-05,0.9944989051706453
13,1,0.9999983580759131,0.0007047204778547661,0.0,0.0007047204778547661,0.0001006743539792523
14,0,0.007573104783164543,1.1526795712572823e-06,-0.00019595552711384654,-0.00019249748840007366,0.9993731882806177
15,1,0.99989284753653,0.01200639826532817,-0.00027443196035035816,0.005420031216919574,0.0060375031277078795
16,0,0.2669393998613085,0.0037852651333901846,-0.0005318141096498419,0.001313893682664351,0.21898228044405949
17,0,0.016343158343337674,4.924121224265103e-06,-0.00014033745489156965,-8.124800020038184e-05,0.9971345479137931
18,1,0.9995190249397121,0.010217572714356648,-0.003786512241202758,0.007873541326945416,0.027887963173302853
19,0,0.004260789160336123,0.0,-5.360701838834303e-05,-2.906404611416235e-05,0.9998031863271666
20,0,0.11081224828451419,8.014386327231321e-05,0.0,5.3429242181557956e-05,0.5877216639969413
21,1,0.9999977457792163,0.0,-0.000951925507643233,-0.000951925507643233,0.00042307800339699245
22,0,0.029319954047563688,0.0011359563348270723,-3.070152256289871e-05,0.00074297684602203,0.9824487220126052
23,0,0.00507287196545676,0.0,-4.2301401487997654e-05,-2.7468442524674204e-05,0.9998513078981268
24,1,0.9998155819766557,0.0,-0.003061684262077108,-0.001003830905599052,0.018872021025262177
25,0,0.10943829315121475,0.0,-0.0010254909737860026,-0.00013147320176743442,0.6047767281302112
26,1,0.9996855829156471,0.0008376473555759077,-0.009214120911334984,-0.004607060455667492,0.022802622457344154
27,0,0.10693815121753916,0.0009261798573138024,-0.0013393985628845722,-8.549352529050756e-05,0.8976820155502954
28,1,0.9999815705526424,0.0008028756086331934,-5.017972553957459e-05,0.00025089862769787295,0.005820848162590652
29,0,0.025370169616585624,5.580767623530919e-06,-5.5807676235343895e-05,-1.953268668236813e-05,0.9961670208008213
30,0,0.10495960433198324,0.000696720176266395,-0.0001935333822962272,3.870667645924544e-05,0.9160580095354407
31,1,0.9999785497293604,0.001034579485867829,-0.005057944153131608,-0.003621028200537401,0.0004023364667263779
32,0,0.008297619305835906,0.0001765042719391677,0.0,0.0001381337780393493,0.9995513660902907
33,0,0.11688499545412355,0.0,-0.0011034321890476889,-0.0007356214593651181,0.6042604844784989
34,0,0.23763455195341926,0.00013882144640346795,-0.0015270359104379008,0.00013882144640346795,0.49975720705240645
35,0,0.05621894316115996,0.00016969384744005327,-4.399470118816113e-05,0.000163408890127462,0.9804533407647795
36,0,0.06260975350223533,0.0,-0.0011275061541716103,-0.0011009765976028694,0.9152697016216604
37,0,0.009067806179266885,5.279654252848264e-05,-3.431775264351342e-05,-1.583896275854538e-05,0.9991745673515331
38,1,0.9999984930327052,0.0,0.0,0.0,5.783681278384645e-05
39,0,0.06115288891079855,1.2215918679737247e-05,-0.0023698882238703386,-0.0020278425008375114,0.9284098196605453
40,1,0.9999543548514012,0.0,-0.002790615049866779,-0.0019726761559403093,0.008804871622855526
41,1,0.9999775431623077,0.0030528072510755517,-0.00476237931167786,0.0030528072510755517,0.0004884491601720882
42,1,0.9999827628148409,0.0022422661665346027,-0.0011551068130632803,-0.0011551068130632803,0.004756322171437036
43,0,0.09937435888295607,0.0008281196573579798,0.0,0.0008281196573579798,0.7644181452535083
44,0,0.24161898259712317,0.0,-3.206196690512066e-05,-3.206196690512066e-05,0.1282478676205537
45,0,0.11520000283735816,0.002148877931096161,0.0,0.0006379481357941766,0.856193550671126
46,0,0.009734301529586462,4.3556874640861935e-05,-4.751659051730286e-05,-1.4518958213620645e-05,0.9991683061555188
47,1,0.9994553335830714,0.007166765854831597,-0.00422412027205306,0.007166765854831597,0.03108762672128938
48,1,0.9999877375608452,0.0038792847764087712,-0.00030625932445332404,0.0005104322074222068,0.0026032042578532544
49,0,0.022743059026123807,0.0,-0.0006892681692579876,-0.00039904999272830923,0.996229702125914
50,0,0.15753343168125203,0.0008587528074689735,-0.0002544452762871022,0.00019083395721530548,0.254445276287102
51,0,0.1512617431161052,0.0,-0.001861090602616506,-0.0015402129125101944,0.22461438307440315
52,1,0.9991969845697041,0.008710644755975465,-0.000430155296591381,0.006022174152279334,0.03860643786907644
53,0,0.2294282211901181,0.00116960992825658,-0.00058480496412829,0.0011388307196182387,0.3077920863833084
54,0,0.016543765054728616,7.440973787734072e-05,-0.00015626044954241352,-0.00015626044954241352,0.9970904875563573
55,1,0.9928738630527553,0.005365199636980016,-0.09532587261983098,-0.05801901933013273,0.04142433208086896
56,1,0.9996697636736482,0.019860988682257913,-0.0027143351199085813,0.010460120705989166,0.0120489998005698
57,1,0.9995429984666014,0.0,-0.023789123363505114,-0.017492002473165524,0.006297120890339588
58,0,0.0008918394325870574,6.0002324804839004e-06,-1.756165604044157e-06,2.9269426734067554e-06,0.9999899643694392
59,1,0.9973367429092744,0.0,-0.020359957667653243,-0.01849262427209925,0.06752518504567837
60,1,0.9999767623274922,0.004586260447526193,0.0,0.004586260447526193,0.0012038933674756256
61,0,0.053565785885521314,0.0,-0.0003738197065768532,-0.00018046468593365682,0.9796654379255492
62,0,0.23987143395877242,0.0025338531756208317,-0.0003941549384298893,0.0014358501328518112,0.47861671095060226
63,1,0.9999929570474064,0.0,-0.002217513421118853,-0.002217513421118853,0.001319948464951698
64,0,0.24240890840018253,0.0,0.0,0.0,0.032321187786691005
65,0,0.00990797929479976,0.00013835652620916748,-4.749552392254927e-05,9.292602506585838e-05,0.9994710251527895
66,0,0.09090370392607353,6.698872802216431e-05,-0.0008038647362659321,-0.0008038647362659321,0.7368760082437795
67,1,0.9999754337975266,0.0,-0.0048694455906662165,-0.0048694455906662165,8.695438554761102e-05
68,0,0.245942075248508,0.0,-0.0019987427795788893,-0.0019987427795788893,0.06447557353480352
69,0,0.18835513178285995,0.0009612606725470074,-0.000857340599839234,0.0009612606725470074,0.5975404180697625
70,0,0.24305667071012887,0.0011097030361145745,0.0,0.0009511740309553497,0.19023480619107397
71,0,0.0019956572802063677,0.0,-1.8166625843913286e-05,-1.5227906957397852e-05,0.9999658902024678
72,1,0.9998714682410266,0.010031185572123498,-0.00869755974461575,-0.00869755974461575,0.0014495932907692918
73,0,0.0010261340829538746,4.6446974417023895e-06,-2.2363358052640852e-06,-1.376206649393295e-06,0.999986156615402
74,1,0.9999990614680252,0.0,0.0,0.0,4.564330008069858e-05
75,0,0.024570412423566907,0.00040406984824514064,-1.4828251311749942e-05,0.00017052489008510623,0.9934928378871349
76,1,0.9999988238356944,0.0,0.0,0.0,5.109594930436331e-05
77,1,0.9999584491905826,0.0,-0.00834464885293546,-0.003265297377235614,0.0006219614051877361
78,0,0.002275517743893834,2.2024099685489472e-05,-2.753012460686286e-06,1.8353416404575239e-06,0.9999553037759031
79,0,0.00048388615278638586,4.8903852293877695e-06,-1.8338944610204813e-06,-2.619849230029259e-07,0.9999964511021303
80,0,0.22289000392535743,0.00039579655694506067,-0.00011308473055574955,-0.00011308473055574955,0.4806101048618818
81,0,0.00945115628791792,5.12999255721998e-06,-0.0001385097990449349,-0.00013508980400678725,0.9986385511387851
82,0,0.1242018023482029,0.0006442002196483559,0.0,0.0006442002196483559,0.22547007687692433
83,1,0.9999038121542777,0.0,-0.005317257626241944,-0.005057879205449654,0.011607184330454975
84,0,0.1211217998215455,0.0,0.0,0.0,0.13119068488659139
85,0,0.1394459147270539,0.0,0.0,0.0,0.03298933397848448
86,1,0.9986839307093299,0.0,-0.02221083162947593,-0.015381144384236562,0.04356077831207295
87,0,0.03325559106851661,9.722360829386364e-05,0.0,7.163844821653182e-05,0.9875871789850293
88,1,0.9985525202545767,0.0025972143274675345,-0.007231459500007645,-0.006925904873246758,0.052759098887379716
89,0,0.10341717579022491,0.0010478252382798321,-0.0002222659596351202,0.0005874171790356637,0.873187698566529
90,0,0.00017144186611839696,2.47470215728239e-06,-1.6498014381883252e-07,2.419708776009454e-06,0.999999645067179
91,0,0.003114023234241505,2.268716333635215e-05,-1.6805306175073732e-06,1.0083183705045359e-05,0.9999157174169971
92,0,0.0003644631927304553,8.115929216202416e-07,-5.043470298639974e-06,-2.956517071616554e-06,0.9999984212820666
93,0,0.03378321190536056,0.0002510023299856792,-0.00017442534795614726,0.00011911974982371383,0.9912464896044592
94,1,0.9999233033440639,0.0013210272951606015,-0.005142570541875199,-0.005095390995619464,0.009860525167448776
95,1,0.999998938086444,0.0,-4.841672015524567e-05,-4.841672015524567e-05,9.683344031049134e-05
96,1,0.9998767650579552,0.0,-0.011974572036622218,-0.009928915980365922,0.0014968215045777773
97,1,0.9999470798264499,0.004113127842064922,-0.0011996622872689356,0.0014281693896058757,0.00908315731789337
